package,complextype,method,NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,LAA_method,FANOUT_method,CINT_method,CDISP_method,NOAM_type,NOM_type,ATFD_type,FANOUT_type,NOA_type,DIT_type,LOC_type,TCC_type,NOPA_type,CBO_type,WMC_type,WOC_type,AMW_type,NOC_package,NOM_package,NOM_project,LOC_project,isStatic_method,is_long methood
net.sourceforge.cobertura.javancss,Javancss,_measureFiles,1,0,0,0,0,3,12,2,3,3,1,4,0,0,15,30,1,16,17,0,460,0.03,0,4,54,0.21,1.8,5,42,1156,14723,0,0
net.sourceforge.cobertura.javancss,Javancss,_measureRoot Reader,1,0,0,0,0,1,20,3,3,7,1,10,0,0,15,30,1,16,17,0,460,0.03,0,4,54,0.21,1.8,5,42,1156,14723,0,0
net.sourceforge.cobertura.javancss,Javancss,_measureSource File,1,0,0,0,0,3,50,4,5,6,1,6,1,1,15,30,1,16,17,0,460,0.03,0,4,54,0.21,1.8,5,42,1156,14723,0,1
net.sourceforge.cobertura.javancss,Javancss,_measureSource Reader,1,0,1,1,0,3,80,10,8,13,0.86,22,0,0,15,30,1,16,17,0,460,0.03,0,4,54,0.21,1.8,5,42,1156,14723,0,1
test.first,A,A,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,26,0,0,0,3,1,0.75,5,11,1156,14723,0,0
test.second,A,A,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,23,0,0,0,3,1,0.75,2,7,1156,14723,0,0
net.sourceforge.cobertura.instrument.pass3,AbstractCodeProvider,AbstractCodeProvider,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,10,11,11,2,0,221,0.06,1,5,18,0.75,1.8,8,54,1156,14723,0,0
net.sourceforge.cobertura.instrument,AbstractFindTouchPointsClassInstrumenter,AbstractFindTouchPointsClassInstrumenter Collection Map,3,0,0,0,0,0,5,1,0,5,1,1,0,0,2,3,0,0,4,1,71,1,0,0,3,0,1,16,108,1156,14723,0,0
net.sourceforge.cobertura.ant,1,accept File String,2,0,0,0,0,0,3,1,0,1,1,1,0,0,0,1,0,0,0,1,6,1,0,0,1,1,1,23,129,1156,14723,0,0
net.sourceforge.cobertura.util,JarZipFilter,accept File String,2,0,0,0,0,0,3,2,0,1,1,1,0,0,0,2,0,0,0,0,5,1,0,0,2,1,1,19,84,1156,14723,0,0
net.sourceforge.cobertura.javancss,PackageMetric,add PackageMetric,1,1,0,0,1,1,13,2,0,0,1,0,0,0,0,3,0,0,2,1,28,0,2,0,4,0.5,1.33,5,42,1156,14723,0,0
net.sourceforge.cobertura.reporting,Complexity,add Complexity,1,1,0,0,2,0,4,1,0,0,1,0,0,0,0,4,0,0,2,0,25,0,0,0,5,1,1.25,8,41,1156,14723,0,0
net.sourceforge.cobertura.util,CommandLineBuilder,addArg String,1,4,0,0,6,1,5,2,0,3,1,2,0,0,0,7,0,0,4,0,149,0.13,0,0,14,1,2,19,84,1156,14723,0,0
net.sourceforge.cobertura.util,CommandLineBuilder,addArg String String,2,5,0,0,6,0,4,1,0,2,1,1,0,0,0,7,0,0,4,0,149,0.13,0,0,14,1,2,19,84,1156,14723,0,0
net.sourceforge.cobertura.check,PackageCoverage,addBranchCount double,1,1,0,0,1,0,3,1,0,2,1,0,0,0,4,9,0,0,4,0,40,0.14,0,0,8,0.5,0.89,3,22,1156,14723,0,0
net.sourceforge.cobertura.check,PackageCoverage,addBranchCoverage double,1,1,0,0,1,0,3,1,0,2,1,0,0,0,4,9,0,0,4,0,40,0.14,0,0,8,0.5,0.89,3,22,1156,14723,0,0
net.sourceforge.cobertura.coveragedata,PackageData,addClassData ClassData,1,3,0,0,6,2,15,2,0,4,1,6,1,1,1,10,0,4,2,1,116,0.67,0,2,19,0.89,1.9,29,247,1156,14723,0,0
net.sourceforge.cobertura.coveragedata,SourceFileData,addClassData ClassData,1,1,0,0,1,2,15,2,0,4,1,6,1,1,1,14,0,5,2,1,185,0.62,0,2,31,0.92,2.21,29,247,1156,14723,0,0
net.sourceforge.cobertura.coveragedata,ProjectData,addClassData ClassData,1,5,1,1,16,2,17,2,2,6,0.83,9,0,0,0,16,2,15,6,1,300,0.33,0,6,32,1,2,29,247,1156,14723,0,0
net.sourceforge.cobertura.ant,CommonMatchingTask,addDirSet,1,0,0,0,0,0,3,1,0,2,1,1,0,0,2,18,3,3,6,1,168,0.04,2,2,28,0.6,1.56,23,129,1156,14723,0,0
net.sourceforge.cobertura.instrument,Main,addElementsToJVM String,1,0,0,0,0,2,17,1,5,9,1,10,0,0,0,11,16,45,5,0,401,0.38,1,13,48,0.5,4.36,16,108,1156,14723,0,0
net.sourceforge.cobertura.instrument,ClassPattern,addExcludeClassesRegex String,1,1,0,0,1,0,3,1,0,2,1,1,0,0,0,5,2,2,3,0,81,0.4,0,1,11,0,2.2,16,108,1156,14723,0,0
net.sourceforge.cobertura.ant,CommonMatchingTask,addFileset,1,5,0,0,8,0,3,1,0,2,1,1,0,0,2,18,3,3,6,1,168,0.04,2,2,28,0.6,1.56,23,129,1156,14723,0,0
net.sourceforge.cobertura.ant,InstrumentTask,addFileToFilesets File,1,0,0,0,0,0,6,1,3,4,1,4,0,0,6,22,5,17,15,2,297,0.09,9,7,52,0.4,2.36,23,129,1156,14723,0,0
net.sourceforge.cobertura.instrument,ClassPattern,addIncludeClassesRegex String,1,1,0,0,1,0,3,1,0,2,1,1,0,0,0,5,2,2,3,0,81,0.4,0,1,11,0,2.2,16,108,1156,14723,0,0
net.sourceforge.cobertura.instrument,Main,addInstrumentation CoberturaFile,1,0,3,1,0,3,16,5,4,7,0.25,11,4,0.5,0,11,16,45,5,0,401,0.38,1,13,48,0.5,4.36,16,108,1156,14723,0,1
net.sourceforge.cobertura.instrument,Main,addInstrumentationToArchive CoberturaFile,1,0,1,1,0,3,67,6,8,11,0.8,16,3,0.67,0,11,16,45,5,0,401,0.38,1,13,48,0.5,4.36,16,108,1156,14723,0,1
net.sourceforge.cobertura.instrument,Main,addInstrumentationToArchive CoberturaFile ZipInputStream ZipInputStream,3,0,2,2,0,7,82,10,10,16,0.6,32,9,0.56,0,11,16,45,5,0,401,0.38,1,13,48,0.5,4.36,16,108,1156,14723,0,1
net.sourceforge.cobertura.instrument,Main,addInstrumentationToArchive Archive,1,0,2,1,0,2,19,2,4,5,0,9,3,0.33,0,11,16,45,5,0,401,0.38,1,13,48,0.5,4.36,16,108,1156,14723,0,0
net.sourceforge.cobertura.instrument,Main,addInstrumentationToArchive CoberturaFile ZipInputStream InputStream OutputStream,3,0,0,0,0,1,13,1,2,5,1,5,0,0,0,11,16,45,5,0,401,0.38,1,13,48,0.5,4.36,16,108,1156,14723,0,0
net.sourceforge.cobertura.instrument,Main,addInstrumentationToSingleClass File,1,0,0,0,0,0,5,1,0,4,1,3,2,1,0,11,16,45,5,0,401,0.38,1,13,48,0.5,4.36,16,108,1156,14723,0,0
net.sourceforge.cobertura.instrument,CoberturaInstrumenter,addInstrumentationToSingleClass File,1,2,2,1,3,3,34,4,5,11,0.5,10,0,0,11,14,17,17,10,0,315,0.18,0,8,24,0.21,1.71,16,108,1156,14723,0,0
net.sourceforge.cobertura.coveragedata,LineData,addJump int,1,2,0,0,3,0,3,1,0,1,1,1,0,0,6,30,3,16,7,0,256,0.15,0,3,85,0.75,2.83,29,247,1156,14723,0,0
net.sourceforge.cobertura.coveragedata,ClassData,addLine int String String,3,7,1,1,11,2,21,4,1,7,0.8,8,0,0,1,32,4,12,6,1,506,0.72,0,1,71,0.97,2.22,29,247,1156,14723,0,0
net.sourceforge.cobertura.check,PackageCoverage,addLineCount double,1,1,0,0,1,0,3,1,0,2,1,0,0,0,4,9,0,0,4,0,40,0.14,0,0,8,0.5,0.89,3,22,1156,14723,0,0
net.sourceforge.cobertura.check,PackageCoverage,addLineCoverage double,1,1,0,0,1,0,3,1,0,2,1,0,0,0,4,9,0,0,4,0,40,0.14,0,0,8,0.5,0.89,3,22,1156,14723,0,0
net.sourceforge.cobertura.coveragedata,ClassData,addLineJump int int,2,5,0,0,7,2,12,2,1,5,1,6,1,1,1,32,4,12,6,1,506,0.72,0,1,71,0.97,2.22,29,247,1156,14723,0,0
net.sourceforge.cobertura.coveragedata,ClassData,addLineSwitch int int int int int,5,5,0,0,7,2,12,2,1,8,1,6,0,0,1,32,4,12,6,1,506,0.72,0,1,71,0.97,2.22,29,247,1156,14723,0,0
net.sourceforge.cobertura.util,RegexUtil,addRegex String,2,3,0,0,4,2,9,1,2,5,1,4,0,0,0,2,0,0,1,0,39,0,0,0,4,1,2,19,84,1156,14723,1,0
net.sourceforge.cobertura.util,FileFinder,addSourceDirectory String,1,5,0,0,9,1,8,2,0,3,1,3,0,0,0,9,0,2,3,0,228,0.36,0,2,25,1,2.78,19,84,1156,14723,0,0
net.sourceforge.cobertura.util,FileFinder,addSourceFile String String,2,3,0,0,5,1,20,5,1,5,1,7,0,0,0,9,0,2,3,0,228,0.36,0,2,25,1,2.78,19,84,1156,14723,0,0
net.sourceforge.cobertura.coveragedata,LineData,addSwitch int int int int,4,1,2,1,1,1,7,2,1,5,0,4,2,0.5,6,30,3,16,7,0,256,0.15,0,3,85,0.75,2.83,29,247,1156,14723,0,0
net.sourceforge.cobertura.instrument.pass3,InjectCodeTouchPointListener,afterJump int int,4,0,0,0,0,1,12,2,1,9,1,5,0,0,1,10,1,12,4,0,143,0.56,0,2,17,0.89,1.7,8,54,1156,14723,0,0
net.sourceforge.cobertura.instrument,TouchPointListener,afterJump int int,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,96,0,0,0,0,1,0,16,108,1156,14723,0,0
net.sourceforge.cobertura.instrument.pass2,BuildClassMapTouchPointListener,afterJump int int,4,0,0,0,0,0,2,1,0,0,1,0,0,0,0,9,0,5,1,0,48,0.36,0,1,9,1,1,2,16,1156,14723,0,0
net.sourceforge.cobertura.instrument.pass3,InjectCodeTouchPointListener,afterLabel int int,4,0,0,0,0,1,29,4,2,9,1,10,0,0,1,10,1,12,4,0,143,0.56,0,2,17,0.89,1.7,8,54,1156,14723,0,0
net.sourceforge.cobertura.instrument,TouchPointListener,afterLabel int?int,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,96,0,0,0,0,1,0,16,108,1156,14723,0,0
net.sourceforge.cobertura.instrument.pass2,BuildClassMapTouchPointListener,afterLabel int int,4,0,0,0,0,0,2,1,0,0,1,0,0,0,0,9,0,5,1,0,48,0.36,0,1,9,1,1,2,16,1156,14723,0,0
net.sourceforge.cobertura.instrument.pass2,BuildClassMapTouchPointListener,afterLineNumber int int String String,6,0,0,0,0,0,4,1,0,6,1,1,1,1,0,9,0,5,1,0,48,0.36,0,1,9,1,1,2,16,1156,14723,0,0
net.sourceforge.cobertura.instrument.pass3,InjectCodeTouchPointListener,afterLineNumber int int String String,6,0,1,1,0,1,7,2,1,5,0.75,3,3,0.67,1,10,1,12,4,0,143,0.56,0,2,17,0.89,1.7,8,54,1156,14723,0,0
net.sourceforge.cobertura.instrument,TouchPointListener,afterLineNumber int int String String,6,1,0,0,1,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,96,0,0,0,0,1,0,16,108,1156,14723,0,0
net.sourceforge.cobertura.instrument.pass3,InjectCodeTouchPointListener,afterMethodStart,1,0,0,0,0,0,4,1,0,3,1,1,1,1,1,10,1,12,4,0,143,0.56,0,2,17,0.89,1.7,8,54,1156,14723,0,0
net.sourceforge.cobertura.instrument,TouchPointListener,afterMethodStart,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,96,0,0,0,0,1,0,16,108,1156,14723,0,0
net.sourceforge.cobertura.instrument.pass2,BuildClassMapTouchPointListener,afterMethodStart,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,9,0,5,1,0,48,0.36,0,1,9,1,1,2,16,1156,14723,0,0
net.sourceforge.cobertura.instrument.pass1,CodeFootstamp,appendIfNotFinal String,1,0,0,0,0,0,4,1,0,2,1,2,0,0,0,21,0,0,2,0,140,0.09,0,0,36,1,1.71,6,62,1156,14723,0,0
net.sourceforge.cobertura.coveragedata,TestUnitInformationHolder,appendTestUnit String,1,0,0,0,0,0,3,1,0,2,1,1,0,0,1,5,0,0,1,0,25,1,0,0,5,0.75,1,29,247,1156,14723,0,0
net.sourceforge.cobertura.instrument,HistoryMethodAdapter,appendToBacklog,1,0,0,0,0,1,6,2,0,3,1,3,0,0,0,18,0,0,2,1,122,0.01,0,0,21,1,1.17,16,108,1156,14723,0,0
net.sourceforge.cobertura.instrument.tp,ClassMap,applyOnProjectData ProjectData boolean,2,1,7,2,1,4,37,7,6,9,0.22,12,10,0.5,5,22,20,20,12,0,360,0.23,0,6,58,0.75,2.64,5,46,1156,14723,0,1
net.sourceforge.cobertura.coveragedata,ApplyToClassDataLightClassmapListener,ApplyToClassDataLightClassmapListener ClassData TestUnitInformationHolder,2,1,0,0,1,1,8,2,1,6,1,1,1,1,2,10,0,10,5,0,84,0.43,0,4,14,0.67,1.4,29,247,1156,14723,0,0
net.sourceforge.cobertura.coveragedata,ApplyToClassDataLightClassmapListener,ApplyToClassDataLightClassmapListener ClassData int,2,1,0,0,1,0,4,1,0,4,1,0,0,0,2,10,0,10,5,0,84,0.43,0,4,14,0.67,1.4,29,247,1156,14723,0,0
net.sourceforge.cobertura.coveragedata,TouchCollector,applyTouchesOnProjectData ProjectData,1,1,0,0,1,0,11,1,2,5,1,5,1,1,0,4,3,5,2,0,203,0.67,0,3,6,1,1.5,29,247,1156,14723,1,0
net.sourceforge.cobertura.coveragedata,TouchCollector,applyTouchesToSingleClassOnProjectData ClassData Class,2,0,0,0,0,2,41,1,10,16,1,9,0,0,0,4,3,5,2,0,203,0.67,0,3,6,1,1.5,29,247,1156,14723,1,0
net.sourceforge.cobertura.instrument,Archive,Archive CoberturaFile byte,2,1,0,0,1,0,4,1,0,4,1,0,0,0,3,6,0,0,3,0,63,0.4,0,0,6,0,1,16,108,1156,14723,0,0
net.sourceforge.cobertura.test,AbstractCoberturaTestCase,assertConditionCoverage List String int,3,0,0,0,0,1,11,2,2,3,1,4,0,0,0,10,11,29,7,0,283,0.47,7,8,17,0.59,1.7,10,29,1156,14723,1,0
net.sourceforge.cobertura.util,CommandLineBuilderTest,assertEquals String String,2,0,0,0,0,1,6,2,1,3,1,2,0,0,0,9,0,7,0,2,149,0,0,1,12,1,1.33,19,84,1156,14723,0,0
net.sourceforge.cobertura.util,IOUtilTest,assertEquals byte byte,2,0,0,0,0,1,6,2,1,3,1,2,0,0,0,6,0,3,3,2,135,0.2,0,1,10,1,1.67,19,84,1156,14723,0,0
net.sourceforge.cobertura.ant,IgnoreTrivialAntTest,assertIgnored String String,2,0,0,0,0,0,3,1,0,3,1,1,1,1,0,6,0,4,1,1,112,0.07,1,2,6,0.86,1,23,129,1156,14723,0,0
net.sourceforge.cobertura.test,IgnoreMethodAnnotationFunctionalTest,assertIgnored String,1,0,0,0,0,0,3,1,0,2,1,1,1,1,0,4,13,14,3,0,116,0.17,3,3,4,0.57,1,10,29,1156,14723,0,0
net.sourceforge.cobertura.test,IgnoreTrivialFunctionalTest,assertIgnored String String,2,0,0,0,0,0,3,1,0,3,1,1,1,1,0,5,4,16,4,1,447,0.1,4,3,5,0.56,1,10,29,1156,14723,0,0
net.sourceforge.cobertura.ant,IgnoreTrivialAntTest,assertIgnored String,1,0,0,0,0,0,3,1,0,1,1,1,0,0,0,6,0,4,1,1,112,0.07,1,2,6,0.86,1,23,129,1156,14723,0,0
net.sourceforge.cobertura.test,IgnoreUtil,assertIgnored String String,2,3,0,0,3,1,7,2,2,6,1,3,0,0,0,3,0,1,2,0,26,1,2,1,5,0.5,1.67,10,29,1156,14723,0,0
net.sourceforge.cobertura.test,IgnoreTrivialFunctionalTest,assertIgnored String,1,0,0,0,0,0,3,1,0,1,1,1,0,0,0,5,4,16,4,1,447,0.1,4,3,5,0.56,1,10,29,1156,14723,0,0
net.sourceforge.cobertura.instrument.pass1,CodeFootstamp,assertNotFinal,0,0,0,0,0,1,6,2,0,1,1,1,0,0,0,21,0,0,2,0,140,0.09,0,0,36,1,1.71,6,62,1156,14723,0,0
net.sourceforge.cobertura.ant,IgnoreTrivialAntTest,assertNotIgnored String String,2,0,0,0,0,0,3,1,0,3,1,1,1,1,0,6,0,4,1,1,112,0.07,1,2,6,0.86,1,23,129,1156,14723,0,0
net.sourceforge.cobertura.test,IgnoreMethodAnnotationFunctionalTest,assertNotIgnored String,1,0,0,0,0,0,3,1,0,2,1,1,1,1,0,4,13,14,3,0,116,0.17,3,3,4,0.57,1,10,29,1156,14723,0,0
net.sourceforge.cobertura.test,IgnoreTrivialFunctionalTest,assertNotIgnored String String,2,0,0,0,0,0,3,1,0,3,1,1,1,1,0,5,4,16,4,1,447,0.1,4,3,5,0.56,1,10,29,1156,14723,0,0
net.sourceforge.cobertura.ant,IgnoreTrivialAntTest,assertNotIgnored String,1,0,0,0,0,0,3,1,0,1,1,1,0,0,0,6,0,4,1,1,112,0.07,1,2,6,0.86,1,23,129,1156,14723,0,0
net.sourceforge.cobertura.test,IgnoreUtil,assertNotIgnored String String,2,3,0,0,3,1,9,2,2,6,1,6,0,0,0,3,0,1,2,0,26,1,2,1,5,0.5,1.67,10,29,1156,14723,0,0
net.sourceforge.cobertura.test,IgnoreTrivialFunctionalTest,assertNotIgnored String,1,0,0,0,0,0,3,1,0,1,1,1,0,0,0,5,4,16,4,1,447,0.1,4,3,5,0.56,1,10,29,1156,14723,0,0
net.sourceforge.cobertura.instrument.tp,ClassMap,assignCounterIds,0,1,0,0,1,0,9,1,3,3,1,4,1,1,5,22,20,20,12,0,360,0.23,0,6,58,0.75,2.64,5,46,1156,14723,0,0
net.sourceforge.cobertura.instrument.t,TouchPointDescriptor,assignCounters AtomicInteger,1,1,0,0,1,0,0,0,0,0,1,0,0,0,4,6,0,0,2,0,56,0,0,0,5,0.2,0.83,1,1,1156,14723,0,0
