ALD,ATFD,CALIN,CC,CCL,CDISP,CEXT,CINT,CM,CYCLO,FANIN,FANOUT,FANOUTCLASS,FDP,LAA,LOC,MAXNESTING,NOAV,NOEU,NOLV,NOP,is_brain
1,0,0,0,2,0,0,0,0,2,0,1,0,0,1,5,1,2,0,0,14,FALSE
1,0,1,0,2,0,0,0,0,2,0,2,1,0,1,6,1,3,0,0,13,FALSE
0,0,32,0,3,0,0,0,0,16,1,35,12,0,1,118,3,34,0,27,11,FALSE
0,0,17,0,3,0.17,1,6,0,17,1,18,6,0,1,76,3,16,0,13,10,FALSE
0,0,22,0,3,0,0,0,0,9,3,17,10,0,1,131,3,37,0,20,9,FALSE
3,0,3,0,3,0,0,0,0,3,2,15,11,0,1,47,2,21,0,7,9,FALSE
0,0,2,0,2,0,0,0,0,4,1,8,6,0,1,63,2,12,0,7,8,FALSE
0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,8,FALSE
0,0,0,1,2,1,1,1,1,4,1,5,3,0,1,15,2,10,1,1,8,FALSE
0,1,0,0,2,1,1,1,0,1,2,1,1,1,0,4,0,1,2,0,7,FALSE
0,0,0,1,1,0,0,0,1,0,3,0,0,0,1,0,0,0,3,0,7,FALSE
1,3,0,0,3,0.2,1,5,0,10,1,8,3,1,0.25,41,3,13,1,4,7,FALSE
0,0,0,2,4,0,0,0,2,1,2,1,1,0,1,3,0,7,2,0,7,FALSE
1,5,0,0,3,0.25,1,4,0,2,0,5,2,1,0.17,10,1,8,0,0,7,FALSE
2,0,0,0,4,1,1,1,0,3,0,8,4,0,1,25,2,10,0,1,7,FALSE
0,0,0,0,4,0,0,0,0,1,3,1,1,0,1,3,0,7,0,0,7,FALSE
1,0,0,1,2,0,0,0,1,2,1,1,1,0,1,6,1,8,1,1,7,FALSE
0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,7,FALSE
0,0,0,1,2,0,0,0,1,2,1,6,1,0,1,12,1,6,1,0,7,FALSE
0,0,1,0,2,0,0,0,0,1,1,2,1,0,1,14,2,2,0,1,7,FALSE
3,8,5,0,16,0.48,10,21,0,13,1,37,19,3,0.27,98,6,27,0,13,7,FALSE
0,0,33,0,5,1,8,8,0,9,1,27,14,0,1,94,2,30,0,21,7,FALSE
0,1,0,0,2,1,1,1,0,1,0,1,1,1,0,3,0,1,0,0,7,FALSE
1,1,0,0,2,1,1,1,0,1,0,2,2,1,0.5,3,0,2,0,0,7,FALSE
1,2,0,0,3,1,4,4,0,3,0,5,5,2,0.33,14,2,5,0,4,7,FALSE
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,7,FALSE
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,7,FALSE
0,0,0,3,1,0,0,0,5,1,7,0,0,0,1,9,0,0,5,0,7,FALSE
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,7,FALSE
0,0,15,0,3,0,0,0,0,7,1,13,7,0,1,51,3,24,0,12,6,FALSE
0,0,1,0,2,0,0,0,0,11,0,2,1,0,1,30,2,8,0,14,6,FALSE
0,0,7,0,2,0,0,0,0,7,1,6,3,0,1,34,2,10,0,2,6,FALSE
0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,3,0,6,0,0,6,FALSE
0,0,0,0,2,0,0,0,0,3,0,1,1,0,1,5,2,6,0,2,6,FALSE
0,0,0,1,1,0,0,0,1,5,2,0,0,0,1,10,2,0,1,2,6,FALSE
5,2,2,0,18,0.67,4,6,0,12,1,18,10,1,0.71,59,4,18,0,5,6,FALSE
12,24,9,0,16,0.41,12,29,0,31,2,70,31,6,0.33,178,6,54,0,28,6,FALSE
0,0,1,2,3,1,2,2,2,8,2,6,4,0,1,33,3,7,2,3,6,FALSE
0,0,0,0,5,0,0,0,0,1,0,1,1,0,1,3,0,6,0,0,6,FALSE
0,0,5,13,5,0,0,0,16,5,16,3,3,0,1,19,1,4,16,0,6,FALSE
0,0,4,1,2,0,0,0,1,1,1,5,1,0,1,9,0,4,1,0,6,FALSE
0,0,1,0,2,0,0,0,0,1,1,5,3,0,1,30,2,9,0,2,6,FALSE
7,0,1,0,1,0,0,0,0,1,0,1,1,0,1,9,0,13,0,0,6,FALSE
0,0,1,0,2,0,0,0,0,1,0,1,1,0,1,4,0,6,0,0,6,FALSE
0,0,3,0,2,0,0,0,0,10,1,8,2,0,1,56,3,10,0,10,6,FALSE
0,0,1,0,2,0,0,0,0,7,1,15,3,0,1,62,3,20,0,13,6,FALSE
0,3,0,0,3,0.33,1,3,0,2,0,4,2,1,0,8,1,3,0,0,5,FALSE
0,3,0,0,2,0.33,1,3,0,1,0,3,1,1,0,5,0,2,0,0,5,FALSE
0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,5,FALSE
0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,5,FALSE
0,0,1,2,4,0,0,0,2,1,2,3,2,0,1,7,0,10,2,3,5,FALSE
0,0,3,2,3,0,0,0,2,1,3,4,2,0,1,5,0,7,2,2,5,FALSE
0,0,1,0,3,0,0,0,0,7,0,13,8,0,1,54,3,18,0,11,5,FALSE
0,0,11,0,2,0,0,0,0,4,1,9,5,0,1,54,1,12,0,4,5,FALSE
0,0,0,0,2,0,0,0,0,2,1,7,2,0,1,11,1,11,0,4,5,FALSE
0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,7,0,0,0,0,5,FALSE
0,0,0,0,17,0,0,0,0,1,2,1,1,0,1,4,0,5,0,0,5,FALSE
