Contract,Dependents,DeviceProtection,InternetService,MonthlyCharges,MultipleLines,Partner,PaymentMethod,PhoneService,SeniorCitizen,TVProgram,TotalCharges,gender,tenure,Label
One year,No,No internet service,No,24.15,Yes,Yes,Bank transfer (automatic),Yes,0,No internet service,1505.9,Male,60,No
Month-to-month,No,No,Fiber optic,76.14228384,Yes,No,Electronic check,Yes,0,No,946.5815184,Female,12,Yes
Month-to-month,Yes,No internet service,No,26.2,Yes,Yes,Electronic check,Yes,0,No internet service,1077.5,Female,40,No
Two year,Yes,No internet service,No,24.65,Yes,Yes,Bank transfer (automatic),Yes,0,No internet service,1138.8,Female,45,No
Month-to-month,Yes,No internet service,No,19.15,No,Yes,Mailed check,Yes,0,No internet service,477.6,Male,25,No
Month-to-month,No,No,Fiber optic,105,No,No,Mailed check,Yes,1,Yes,2007.25,Female,19,No
Two year,No,No,DSL,61.35,No,Yes,Mailed check,Yes,0,No,3766.2,Male,60,No
Month-to-month,No,No,Fiber optic,53.66491881,Yes,No,Electronic check,Yes,0,Yes,1857.50805,Male,36,No
Month-to-month,No,No,DSL,51.38863543,No,No,Electronic check,Yes,0,No,51.38863543,Female,1,Yes
Two year,No,No,Fiber optic,79.2,Yes,No,Credit card (automatic),Yes,1,No,4590.35,Female,59,No
Month-to-month,No,No,Fiber optic,78.95,No,No,Electronic check,Yes,0,No,494.95,Male,6,No
One year,No,Yes,Fiber optic,94.05,Yes,Yes,Electronic check,Yes,1,No,5483.9,Female,59,No
Month-to-month,No,No,Fiber optic,84.97527288,Yes,Yes,Electronic check,Yes,0,Yes,2429.292415,Male,29,Yes
Month-to-month,No,No,Fiber optic,54.51287669,No,No,Electronic check,Yes,0,No,298.7490638,Female,4,Yes
One year,No,No,DSL,68.7,Yes,No,Electronic check,Yes,0,Yes,1416.2,Male,20,No
Month-to-month,No,No,Fiber optic,73.85,Yes,Yes,Bank transfer (automatic),Yes,0,No,1284.2,Male,16,Yes
Month-to-month,No,No,Fiber optic,94.71917232,Yes,Yes,Electronic check,Yes,0,Yes,2715.424819,Female,28,Yes
Month-to-month,No,No,Fiber optic,104.35,Yes,No,Electronic check,Yes,0,Yes,3205.6,Female,31,No
One year,No,Yes,Fiber optic,95,Yes,No,Bank transfer (automatic),Yes,0,Yes,3605.6,Male,38,No
Month-to-month,No,Yes,Fiber optic,105.6523049,Yes,Yes,Electronic check,Yes,0,Yes,4884.209275,Male,46,No
One year,Yes,No internet service,No,21.2,No,No,Mailed check,Yes,0,No internet service,1238.65,Male,56,No
One year,Yes,No internet service,No,20.25,No,No,Credit card (automatic),Yes,0,No internet service,865,Female,41,No
