dataset,variant,runs,selected_dim_mean,selected_dim_std,selected_dim,reduction_pct_mean,reduction_pct_std,reduction_pct,accuracy_mean,accuracy_std,accuracy,accuracy_delta_pct_points_mean,accuracy_delta_pct_points_std,accuracy_delta_pct_points,fmeasure_mean,fmeasure_std,fmeasure,fmeasure_delta_pct_points_mean,fmeasure_delta_pct_points_std,fmeasure_delta_pct_points,total_time_sec_mean,total_time_sec_std,total_time_sec
MagicGamma,Original,5,10.0,0.0,10.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.7703470031545742,0.043932470871047936,0.7703 ± 0.0439,0.0,0.0,0.0000 ± 0.0000,0.6915790265455753,0.08135302164703417,0.6916 ± 0.0814,0.0,0.0,0.0000 ± 0.0000,65.41746921539307,13.611431677658384,65.4175 ± 13.6114
MagicGamma,Phase 1,5,3.0,0.0,3.0000 ± 0.0000,70.0,0.0,70.0000 ± 0.0000,0.8127234490010515,0.003113782885349355,0.8127 ± 0.0031,4.2376445846477395,4.209605202522651,4.2376 ± 4.2096,0.7735054552387958,0.007902388816493694,0.7735 ± 0.0079,8.19264286932204,7.981558712448048,8.1926 ± 7.9816,107.08688098341227,13.714737334563223,107.0869 ± 13.7147
MagicGamma,Phase 1+2,5,4.0,0.0,4.0000 ± 0.0000,60.0,0.0,60.0000 ± 0.0000,0.7961093585699264,0.014869178489008842,0.7961 ± 0.0149,2.5762355415352256,4.618411568978198,2.5762 ± 4.6184,0.7412188698105918,0.027285061311770956,0.7412 ± 0.0273,4.96398432650164,9.02517070972713,4.9640 ± 9.0252,147.8173492848873,15.532272334153431,147.8173 ± 15.5323
MagicGamma,Full,5,4.2,0.4472135954999579,4.2000 ± 0.4472,58.0,4.47213595499958,58.0000 ± 4.4721,0.7951629863301788,0.013752228755728775,0.7952 ± 0.0138,2.481598317560463,4.4561112421906826,2.4816 ± 4.4561,0.7400053740274153,0.02584864645366152,0.7400 ± 0.0258,4.842634748183993,8.820531210657046,4.8426 ± 8.8205,186.6209248870611,16.424166968565427,186.6209 ± 16.4242
BrainMethod,Original,5,21.0,0.0,21.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.9295132548328191,0.006514803039772299,0.9295 ± 0.0065,0.0,0.0,0.0000 ± 0.0000,0.8889171881232888,0.01031220858592463,0.8889 ± 0.0103,0.0,0.0,0.0000 ± 0.0000,347.40765400379894,43.82712536916775,347.4077 ± 43.8271
BrainMethod,Phase 1,5,6.0,1.0,6.0000 ± 1.0000,71.42857142857143,4.761904761904759,71.4286 ± 4.7619,0.9208488130470374,0.0027870154242592734,0.9208 ± 0.0028,-0.8664441785781785,0.7057033199003652,-0.8664 ± 0.7057,0.873849287374612,0.005882626322839463,0.8738 ± 0.0059,-1.5067900748676832,0.9796560632632231,-1.5068 ± 0.9797,469.127972625196,36.36111483406444,469.1280 ± 36.3611
BrainMethod,Phase 1+2,5,4.0,0.0,4.0000 ± 0.0000,80.95238095238095,0.0,80.9524 ± 0.0000,0.8665953025628109,0.004488144527706136,0.8666 ± 0.0045,-6.291795227000818,1.0462543285623307,-6.2918 ± 1.0463,0.7375694200149111,0.0029919068616466957,0.7376 ± 0.0030,-15.134776810837765,1.0743574125984263,-15.1348 ± 1.0744,560.6852813094854,35.19398585049127,560.6853 ± 35.1940
BrainMethod,Full,5,9.0,1.0,9.0000 ± 1.0000,57.142857142857146,4.761904761904763,57.1429 ± 4.7619,0.935835274856747,0.0032758663124411824,0.9358 ± 0.0033,0.6322020023927921,0.8841457206152143,0.6322 ± 0.8841,0.8970612539969979,0.003672321339584869,0.8971 ± 0.0037,0.8144065873709128,1.2658765034841295,0.8144 ± 1.2659,690.6073180630804,105.13860636354126,690.6073 ± 105.1386
SoftwareQuality,Original,5,241.0,0.0,241.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.9771556550951848,0.01143643577306765,0.9772 ± 0.0114,0.0,0.0,0.0000 ± 0.0000,0.9652826951044996,0.0164200764766998,0.9653 ± 0.0164,0.0,0.0,0.0000 ± 0.0000,706.3197945550085,29.679626196942095,706.3198 ± 29.6796
SoftwareQuality,Phase 1,5,4.4,1.140175425099138,4.4000 ± 1.1402,98.17427385892117,0.4731018361407263,98.1743 ± 0.4731,0.9422172452407614,0.01759223909218854,0.9422 ± 0.0176,-3.4938409854423313,1.7008747672736428,-3.4938 ± 1.7009,0.9090544156342759,0.03611732506361976,0.9091 ± 0.0361,-5.622827947022373,3.2411162915794995,-5.6228 ± 3.2411,748.8754903018474,25.7224060253248,748.8755 ± 25.7224
SoftwareQuality,Phase 1+2,5,16.0,0.0,16.0000 ± 0.0000,93.3609958506224,0.0,93.3610 ± 0.0000,0.9657334826427771,0.006214753382088048,0.9657 ± 0.0062,-1.1422172452407642,0.7734063448972877,-1.1422 ± 0.7734,0.9477570440924429,0.009280183272077622,0.9478 ± 0.0093,-1.752565101205672,1.2020559610549222,-1.7526 ± 1.2021,809.1952082052827,28.38123885806777,809.1952 ± 28.3812
SoftwareQuality,Full,5,17.6,1.140175425099138,17.6000 ± 1.1402,92.69709543568464,0.4731018361407195,92.6971 ± 0.4731,0.9630459126539753,0.003879173141251668,0.9630 ± 0.0039,-1.4109742441209416,0.7822732002944209,-1.4110 ± 0.7823,0.9436994049777228,0.005169704663674415,0.9437 ± 0.0052,-2.158329012677691,1.179312144120539,-2.1583 ± 1.1793,866.1556852281094,31.676952495679068,866.1557 ± 31.6770
