dataset,method,runs,selected_dim_mean,selected_dim_std,selected_dim,reduction_pct_mean,reduction_pct_std,reduction_pct,selected_accuracy_mean,selected_accuracy_std,selected_accuracy,accuracy_delta_pct_points_mean,accuracy_delta_pct_points_std,accuracy_delta_pct_points,selected_f1_mean,selected_f1_std,selected_f1,f1_delta_pct_points_mean,f1_delta_pct_points_std,f1_delta_pct_points,total_time_sec_mean,total_time_sec_std,total_time_sec
MagicGamma,VT,5,8.0,0.0,8.0000 ± 0.0000,20.0,0.0,20.0000 ± 0.0000,0.7825972660357519,0.039457580320340586,0.7826 ± 0.0395,1.2250262881177698,4.609409874499438,1.2250 ± 4.6094,0.7116632510984491,0.08013002503090932,0.7117 ± 0.0801,2.008422455287371,9.330205699703637,2.0084 ± 9.3302,88.37445269525051,13.344095767162033,88.3745 ± 13.3441
MagicGamma,MI,5,8.0,0.0,8.0000 ± 0.0000,20.0,0.0,20.0000 ± 0.0000,0.7137223974763407,0.019648499642139425,0.7137 ± 0.0196,-5.662460567823344,3.449738322368671,-5.6625 ± 3.4497,0.5705022898482947,0.043866447159753956,0.5705 ± 0.0439,-12.107673669728076,7.4539622076100045,-12.1077 ± 7.4540,35.886879216134545,11.779748401436096,35.8869 ± 11.7797
MagicGamma,CHI,5,8.0,0.0,8.0000 ± 0.0000,20.0,0.0,20.0000 ± 0.0000,0.7865930599369085,0.028484361396054474,0.7866 ± 0.0285,1.6246056782334395,5.856187893901361,1.6246 ± 5.8562,0.7203624058969442,0.06171717717552635,0.7204 ± 0.0617,2.8783379351368876,11.550963000636314,2.8783 ± 11.5510,44.170037020742896,10.602162326582091,44.1700 ± 10.6022
MagicGamma,RFE,5,8.0,0.0,8.0000 ± 0.0000,20.0,0.0,20.0000 ± 0.0000,0.7771293375394321,0.0383064874098259,0.7771 ± 0.0383,0.6782334384858048,3.5941443023888167,0.6782 ± 3.5941,0.7021520377475569,0.07411162042234982,0.7022 ± 0.0741,1.0573011201981461,6.9879042090326315,1.0573 ± 6.9879,50.96473295092583,15.70109992344294,50.9647 ± 15.7011
MagicGamma,RFC,5,8.0,0.0,8.0000 ± 0.0000,20.0,0.0,20.0000 ± 0.0000,0.7838590956887487,0.0451989001651394,0.7839 ± 0.0452,1.3512092534174556,4.774554739287771,1.3512 ± 4.7746,0.7153837146697556,0.09133626200610769,0.7154 ± 0.0913,2.380468812418024,9.565510383420683,2.3805 ± 9.5655,47.92919592708349,18.119411336987252,47.9292 ± 18.1194
MagicGamma,CauFeature,5,4.2,0.4472135954999579,4.2000 ± 0.4472,58.0,4.47213595499958,58.0000 ± 4.4721,0.7951629863301788,0.013752228755728775,0.7952 ± 0.0138,2.481598317560463,4.4561112421906826,2.4816 ± 4.4561,0.7400053740274153,0.02584864645366152,0.7400 ± 0.0258,4.842634748183993,8.820531210657046,4.8426 ± 8.8205,98.70910698026418,15.621343789138319,98.7091 ± 15.6213
BrainMethod,VT,5,16.0,0.0,16.0000 ± 0.0000,23.80952380952381,0.0,23.8095 ± 0.0000,0.9108872237264656,0.003615171726197493,0.9109 ± 0.0036,-1.8626031106353502,0.9407118213031087,-1.8626 ± 0.9407,0.8569184331724544,0.0035240947718375095,0.8569 ± 0.0035,-3.199875495083435,1.194252756410115,-3.1999 ± 1.1943,103.22968714982271,5.039999233848332,103.2297 ± 5.0400
BrainMethod,MI,5,16.0,0.0,16.0000 ± 0.0000,23.80952380952381,0.0,23.8095 ± 0.0000,0.9247780366475663,0.004328036237325632,0.9248 ± 0.0043,-0.4735218185252821,0.7063603811825757,-0.4735 ± 0.7064,0.8783032716370318,0.006817694855063621,0.8783 ± 0.0068,-1.0613916486256936,0.9635380240818656,-1.0614 ± 0.9635,154.40584910959006,30.57797501166681,154.4058 ± 30.5780
BrainMethod,CHI,5,16.0,0.0,16.0000 ± 0.0000,23.80952380952381,0.0,23.8095 ± 0.0000,0.924198728039796,0.0038937140994919446,0.9242 ± 0.0039,-0.5314526793023111,0.9174011986869189,-0.5315 ± 0.9174,0.8776120231316127,0.004393861988458003,0.8776 ± 0.0044,-1.1305164991676109,1.262029625080195,-1.1305 ± 1.2620,170.19687080979347,26.582345541180946,170.1969 ± 26.5823
BrainMethod,RFE,5,16.0,0.0,16.0000 ± 0.0000,23.80952380952381,0.0,23.8095 ± 0.0000,0.9259996221900384,0.0076859285330709015,0.9260 ± 0.0077,-0.3513632642780684,1.1868769639701007,-0.3514 ± 1.1869,0.8838727087827437,0.009460996924855409,0.8839 ± 0.0095,-0.5044479340545083,1.6191552918211591,-0.5044 ± 1.6192,199.8977483972907,37.51217149391705,199.8977 ± 37.5122
