dataset,method,runs,selected_dim_mean,selected_dim_std,selected_dim,reduction_pct_mean,reduction_pct_std,reduction_pct,selected_accuracy_mean,selected_accuracy_std,selected_accuracy,accuracy_delta_pct_points_mean,accuracy_delta_pct_points_std,accuracy_delta_pct_points,selected_f1_mean,selected_f1_std,selected_f1,f1_delta_pct_points_mean,f1_delta_pct_points_std,f1_delta_pct_points,total_time_sec_mean,total_time_sec_std,total_time_sec
MagicGamma,VT,5,4.2,0.4472135954999579,4.2000 ± 0.4472,58.0,4.47213595499958,58.0000 ± 4.4721,0.7245005257623555,0.018777151870061567,0.7245 ± 0.0188,-4.584647739221872,5.378172420430606,-4.5846 ± 5.3782,0.6133051977386381,0.030231281191451968,0.6133 ± 0.0302,-7.827382880693731,10.156406187691566,-7.8274 ± 10.1564,52.2255761012435,6.550148489063246,52.2256 ± 6.5501
MagicGamma,MI,5,4.2,0.4472135954999579,4.2000 ± 0.4472,58.0,4.47213595499958,58.0000 ± 4.4721,0.7575184016824396,0.03045373777341296,0.7575 ± 0.0305,-1.2828601472134582,3.1878285770841157,-1.2829 ± 3.1878,0.6654635495547949,0.06225550750018457,0.6655 ± 0.0623,-2.6115476990780517,6.571310073460267,-2.6115 ± 6.5713,46.9699965775013,7.431158706311328,46.9700 ± 7.4312
MagicGamma,CHI,5,4.2,0.4472135954999579,4.2000 ± 0.4472,58.0,4.47213595499958,58.0000 ± 4.4721,0.7951629863301788,0.013752228755728775,0.7952 ± 0.0138,2.481598317560463,4.4561112421906826,2.4816 ± 4.4561,0.7400053740274153,0.02584864645366152,0.7400 ± 0.0258,4.842634748183993,8.820531210657046,4.8426 ± 8.8205,40.860533002018926,3.0525948064629698,40.8605 ± 3.0526
MagicGamma,RFE,5,4.2,0.4472135954999579,4.2000 ± 0.4472,58.0,4.47213595499958,58.0000 ± 4.4721,0.7951629863301788,0.013752228755728775,0.7952 ± 0.0138,2.481598317560463,4.4561112421906826,2.4816 ± 4.4561,0.7400053740274153,0.02584864645366152,0.7400 ± 0.0258,4.842634748183993,8.820531210657046,4.8426 ± 8.8205,39.92832262068987,2.8835767226052136,39.9283 ± 2.8836
MagicGamma,RFC,5,4.2,0.4472135954999579,4.2000 ± 0.4472,58.0,4.47213595499958,58.0000 ± 4.4721,0.7951629863301788,0.013752228755728775,0.7952 ± 0.0138,2.481598317560463,4.4561112421906826,2.4816 ± 4.4561,0.7400053740274153,0.02584864645366152,0.7400 ± 0.0258,4.842634748183993,8.820531210657046,4.8426 ± 8.8205,40.81967168599367,2.7799439182051637,40.8197 ± 2.7799
MagicGamma,CauFeature,5,4.2,0.4472135954999579,4.2000 ± 0.4472,58.0,4.47213595499958,58.0000 ± 4.4721,0.7951629863301788,0.013752228755728775,0.7952 ± 0.0138,2.481598317560463,4.4561112421906826,2.4816 ± 4.4561,0.7400053740274153,0.02584864645366152,0.7400 ± 0.0258,4.842634748183993,8.820531210657046,4.8426 ± 8.8205,98.70910698026418,15.621343789138319,98.7091 ± 15.6213
BrainMethod,VT,5,9.0,1.0,9.0000 ± 1.0000,57.142857142857146,4.761904761904763,57.1429 ± 4.7619,0.9071091241105724,0.0027161911701383337,0.9071 ± 0.0027,-2.240413072224672,0.7862270789434438,-2.2404 ± 0.7862,0.8534300642731366,0.0018207296347738224,0.8534 ± 0.0018,-3.5487123850152136,1.088758496067768,-3.5487 ± 1.0888,96.70185962766409,12.531675593076558,96.7019 ± 12.5317
BrainMethod,MI,5,9.0,1.0,9.0000 ± 1.0000,57.142857142857146,4.761904761904763,57.1429 ± 4.7619,0.9244631950129085,0.010302261035547012,0.9245 ± 0.0103,-0.5050059819910602,1.308472136843033,-0.5050 ± 1.3085,0.8780262207699773,0.013307593055819873,0.8780 ± 0.0133,-1.0890967353311543,1.8309482605972927,-1.0891 ± 1.8309,160.08798438459635,58.731403825210954,160.0880 ± 58.7314
BrainMethod,CHI,5,9.0,1.0,9.0000 ± 1.0000,57.142857142857146,4.761904761904763,57.1429 ± 4.7619,0.9375606070146716,0.004853383621322104,0.9376 ± 0.0049,0.804735218185253,1.093615005685028,0.8047 ± 1.0936,0.895521672038193,0.006351045940552513,0.8955 ± 0.0064,0.6604483914904224,1.569123050024071,0.6604 ± 1.5691,151.00945273190737,31.644473889411238,151.0095 ± 31.6445
BrainMethod,RFE,5,9.0,1.0,9.0000 ± 1.0000,57.142857142857146,4.761904761904763,57.1429 ± 4.7619,0.9356589635413387,0.005010118766192702,0.9357 ± 0.0050,0.6145708708519604,1.0160227850322692,0.6146 ± 1.0160,0.8964650411945412,0.005778429621973966,0.8965 ± 0.0058,0.7547853071252386,1.4414359231188634,0.7548 ± 1.4414,146.05260606706142,18.190529384444503,146.0526 ± 18.1905
BrainMethod,RFC,5,9.0,1.0,9.0000 ± 1.0000,57.142857142857146,4.761904761904763,57.1429 ± 4.7619,0.9328379824948051,0.003918886831018703,0.9328 ± 0.0039,0.33247276619860155,0.8621304520873606,0.3325 ± 0.8621,0.8894356271686542,0.005306283215670481,0.8894 ± 0.0053,0.05184390453653709,1.2409438372601878,0.0518 ± 1.2409,200.20125335156916,44.30792550951146,200.2013 ± 44.3079
BrainMethod,CauFeature,5,9.0,1.0,9.0000 ± 1.0000,57.142857142857146,4.761904761904763,57.1429 ± 4.7619,0.935835274856747,0.0032758663124411824,0.9358 ± 0.0033,0.6322020023927921,0.8841457206152143,0.6322 ± 0.8841,0.8970612539969979,0.003672321339584869,0.8971 ± 0.0037,0.8144065873709128,1.2658765034841295,0.8144 ± 1.2659,507.9860805913806,41.92978681649688,507.9861 ± 41.9298
SoftwareQuality,VT,5,17.6,1.140175425099138,17.6000 ± 1.1402,92.69709543568464,0.4731018361407195,92.6971 ± 0.4731,0.9587905935050393,0.0036630296156318263,0.9588 ± 0.0037,-1.836506159014557,1.1653671436280102,-1.8365 ± 1.1654,0.9368036662910625,0.007257190485644769,0.9368 ± 0.0073,-2.84790288134372,1.7884988416145324,-2.8479 ± 1.7885,80.49574445039033,14.241118423816935,80.4957 ± 14.2411
